operator_name,total_versions,latest_version,openshift_versions,last_update,has_ci_yaml,has_makefile,error
f5-bigip-ctlr-operator,14,v1.21.0,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.6,v4.7,v4.8,v4.9",2025-05-28T14:11:25,True,False,
f5-ipam-controller-operator,7,v0.0.7,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.6,v4.7,v4.8,v4.9",2024-09-09T07:38:33,True,False,
falcon-operator,9,v1.6.0,"v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.20",2025-06-05T21:07:08,True,False,
federatorai-certified,1,4.7.2-1,"v4.6,v4.7,v4.8,v4.9",2021-11-29T09:47:47,True,False,
fep-helm-operator-certified,0,,,2021-09-28T16:10:20,True,False,
fp-predict-plus-operator-certified,0,,,2021-09-28T16:10:20,True,False,
fujitsu-enterprise-postgres-operator,49,v7.2.7,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.20,v4.6,v4.7,v4.8,v4.9",2025-07-08T12:38:23,True,False,
fujitsu-enterprise-postgres-operator-with-cg-module,14,v7.1.5,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18",2025-07-08T12:40:57,True,False,
function-mesh,22,v0.24.0,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.20,v4.6,v4.7,v4.8,v4.9",2025-03-20T09:56:29,True,False,
fusion-analytics-operator,1,0.0.45,"v4.10,v4.11,v4.8,v4.9",2022-11-01T14:06:38,True,False,
gaudi-ai-sw-tools-operator,2,0.0.2,"v4.14,v4.15,v4.16",2025-01-27T20:38:25,True,False,
gitlab-operator,0,,,2021-09-28T16:10:20,True,False,
gitlab-operator-kubernetes,119,2.1.2,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.6,v4.7,v4.8,v4.9",2025-07-09T14:13:43,True,False,
gitlab-runner-operator,38,1.38.0,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.6,v4.7,v4.8,v4.9",2025-06-19T23:19:59,True,False,
gpu-operator-certified,27,v25.3.1,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.8,v4.9",2025-06-13T00:45:34,True,False,
grafana-cloud-log-forwarder-operator,2,v1.0.2,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.20,v4.9",2022-03-09T00:44:52,True,False,
growth-stack-operator-certified,0,,,2021-09-28T16:10:20,True,False,
h2o-operator,0,,,2021-09-28T16:10:20,True,False,
habana-ai-operator,28,1.21.2-76,"v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.20",2025-07-11T11:35:05,True,False,
harness-gitops-operator,1,0.1.4,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.20,v4.8,v4.9",2025-02-17T13:45:53,True,False,
hazelcast-platform-operator,16,5.15.0,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.20,v4.6,v4.7,v4.8,v4.9",2025-03-13T16:57:56,True,False,
hcp-terraform-operator,5,2.9.2,"v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.20",2025-05-28T17:04:32,True,False,
headspinunifiedcontroller,1,202110.179.0,"v4.7,v4.8,v4.9",2022-03-13T23:55:53,True,False,
hedvig-operator,0,,,2021-09-28T16:10:20,True,False,
here-service-operator-certified,0,,,2021-09-28T16:10:20,True,False,
hpe-csi-operator,13,2.5.2,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.6,v4.7,v4.8,v4.9",2025-02-27T07:46:24,True,False,
hpe-ezmeral-csi-operator,9,1.0.18,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.20,v4.5,v4.6,v4.7,v4.8,v4.9",2025-07-07T09:14:05,True,False,
hpe-filex-csi-operator,1,v1.0.0-beta3,"v4.14,v4.15,v4.16,v4.17",2025-01-10T20:44:41,True,False,
hspc-operator,16,1.16.0,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.6,v4.7,v4.8,v4.9",2025-07-11T00:29:39,True,False,
hulft,2,10.4.0,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.20",2025-06-02T12:32:22,True,False,
ibm-application-gateway-operator,6,25.2.0,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.20,v4.6,v4.7,v4.8,v4.9",2025-02-06T00:36:12,True,False,
ibm-auditlogging-operator-app,0,,,2021-09-28T16:10:20,True,False,
ibm-block-csi-operator,13,1.12.4,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.7,v4.8,v4.9",2025-06-17T19:30:51,True,False,
ibm-blockchain-certified,0,,,2021-09-28T16:10:20,True,False,
ibm-catalog-enablement,0,,,2021-09-28T16:10:20,True,False,
ibm-catalog-ui-operator-app,0,,,2021-09-28T16:10:20,True,False,
ibm-cert-manager-operator,0,,,2021-09-28T16:10:20,True,False,
ibm-cloud-databases-redis,0,,,2021-09-28T16:10:20,True,False,
ibm-commonui-operator-app,1,v4.8.0,"v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18",2025-06-18T23:36:18,True,False,
ibm-cp-data-operator,0,,,2021-09-28T16:10:20,True,False,
ibm-data-reporter-operator,34,2.19.4,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19",2025-07-09T21:43:20,True,False,
ibm-healthcheck-operator-app,0,,,2021-09-28T16:10:20,True,False,
ibm-helm-api-operator-app,0,,,2021-09-28T16:10:20,True,False,
ibm-helm-repo-operator-app,0,,,2021-09-28T16:10:20,True,False,
ibm-iam-operator-app,0,,,2021-09-28T16:10:20,True,False,
ibm-ingress-nginx-operator-app,0,,,2021-09-28T16:10:20,True,False,
ibm-itx-rs-operator,0,,,2021-09-28T16:10:20,True,False,
ibm-java-acceleration-operator,0,,,2021-09-28T16:10:20,True,False,
ibm-management-hybridapp,0,,,2021-09-28T16:10:20,True,False,
ibm-management-ingress-operator-app,0,,,2021-09-28T16:10:20,True,False,
ibm-metering-operator-app,0,,,2021-09-28T16:10:20,True,False,
ibm-metrics-operator,36,2.19.4,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.9",2025-07-09T20:40:23,True,False,
ibm-mongodb-operator-app,0,,,2021-09-28T16:10:20,True,False,
ibm-monitoring-grafana-operator-app,0,,,2021-09-28T16:10:20,True,False,
ibm-monitoring-prometheusext-operator-app,0,,,2021-09-28T16:10:20,True,False,
ibm-mq-operator,0,,,2021-09-28T16:10:20,True,False,
ibm-platform-api-operator-app,0,,,2021-09-28T16:10:20,True,False,
ibm-sample-panamax,0,,,2021-09-28T16:10:20,True,False,
ibm-security-verify-access-operator,4,25.4.0,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.20,v4.6,v4.7,v4.8,v4.9",2025-05-01T06:30:33,True,False,
ibm-security-verify-directory-operator,3,23.4.1,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.20,v4.9",2023-04-19T00:28:55,True,False,
ibm-security-verify-operator,4,23.3.0,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.20,v4.7,v4.8,v4.9",2023-03-22T04:27:01,True,False,
ibm-spectrum-scale-csi,0,,,2021-09-28T16:10:20,True,False,
